1.71137	0.0658287	-0.364528	-2.45457	
-4.65489	0.923978	2.13004	-8.30846	
-0.865511	-0.684795	0.214809	-0.156352	
-0.951279	1.28506	-0.849077	0.598458	
-5.24738	0.898355	-2.20957	0.474459	
-39.5473	0.64181	-1.40824	0.0207671	
-0.187184	1.62639	1.93873	0.428643	
0.129837	-1.04634	-0.463516	0.531846	
31.8162	0.745462	1.48227	0.133184	
-0.902656	-50.7188	0.546029	47.7862	
0.414596	12.0626	-0.234792	-0.0513965	
0.502958	0.730286	-5.58498	1.77424	
1.87023	-15.5511	-1.26609	0.771786	
1.07586	1.19011	-3.03842	0.471969	
0.490643	1.45269	1.13359	-3.11525	
1.6009	0.246797	-0.694968	3.90032	
-0.247718	1.80925	-0.427107	1.83835	
-0.304439	0.187835	-39.9324	-2.35234	
6.26708	-0.31084	-5.88486	-0.176928	
-0.558271	0.494071	-0.9591	0.0873355	
0.754008	-4.14527	-0.445019	-1.49504	
-4.44468	6.79531	-0.36148	0.359309	
-7.06314	0.0176144	-0.481954	-0.672902	
-2.14719	-0.805952	-0.866641	0.460246	
0.967257	-0.462165	-0.689582	-1.56372	
0.772019	0.951376	19.241	-0.102288	
0.975732	-0.251868	0.157491	2.03674	
0.0983106	-7.27007	1.43598	-0.752439	
-3.81962	0.0145137	0.325574	11.6815	
-1.70017	2.23169	-0.542641	0.0523564	
-0.507549	-1.36725	3.09175	-0.436168	
-1.97283	-0.741723	-0.856822	-0.387718	
0.838863	1.73	-0.0274875	-0.543894	
0.861906	-103.342	-5.22812	0.225525	
0.955043	2.13281	1.43905	-6.79848	
-14.482	0.230463	1.31558	-8.01988	
-1.62435	2.24809	-0.81798	-1.64067	
0.752182	-0.51082	-7.09631	-4.25434	
-1.60461	1.13161	-1.38837	0.16867	
3.00913	-0.234207	-16.3077	-0.411284	
-2.70505	-2.14371	-0.644581	0.963212	
-0.190065	0.313708	-3.05277	-0.12101	
0.354203	-1.13786	1.52454	0.75639	
0.285457	-13.3169	-0.900826	0.439846	
