-22	2
-21.56	4
-21.12	4
-20.68	1
-20.24	5
-19.8	7
-19.36	3
-18.92	2
-18.48	5
-18.04	5
-17.6	6
-17.16	7
-16.72	1
-16.28	8
-15.84	2
-15.4	5
-14.96	4
-14.52	7
-14.08	14
-13.64	9
-13.2	3
-12.76	6
-12.32	12
-11.88	10
-11.44	14
-11	18
-10.56	16
-10.12	12
-9.68	18
-9.24	9
-8.8	19
-8.36	19
-7.92	14
-7.48	35
-7.04	27
-6.6	36
-6.16	34
-5.72	49
-5.28	43
-4.84	70
-4.4	68
-3.96	82
-3.52	128
-3.08	158
-2.64	197
-2.2	278
-1.76	408
-1.32	640
-0.88	952
-0.44	1336
0	1291
0.44	987
0.88	674
1.32	418
1.76	297
2.2	215
2.64	163
3.08	115
3.52	104
3.96	77
4.4	64
4.84	46
5.28	54
5.72	37
6.16	27
6.6	32
7.04	18
7.48	19
7.92	18
8.36	19
8.8	15
9.24	19
9.68	14
10.12	15
10.56	11
11	10
11.44	11
11.88	10
12.32	10
12.76	9
13.2	11
13.64	5
14.08	7
14.52	6
14.96	7
15.4	7
15.84	4
16.28	3
16.72	5
17.16	4
17.6	5
18.04	3
18.48	4
18.92	4
19.36	1
19.8	4
20.24	7
20.68	3
21.12	2
21.56	4
